Constituency,Name,Party,FirstCount,Elected
CARLOW-KILKENNY,John McGuinness,Fianna Fail,10528,Yes
CARLOW-KILKENNY,Bobby Aylward,Fianna Fail,9366,Yes
CARLOW-KILKENNY,Kathleen Funchion,Sinn Fein,8700,Yes
CARLOW-KILKENNY,Jennifer Murnane OConnor,Fianna Fail,8373,Yes
CARLOW-KILKENNY,John Paul Phelan,Fine Gael,7568,Yes
CARLOW-KILKENNY,Pat Deering,Fine Gael,6562,No
CARLOW-KILKENNY,David Fitzgerald,Fine Gael,5017,No
CARLOW-KILKENNY,Ann Phelan,Labour,4391,No
CARLOW-KILKENNY,Malcolm Noonan,Green Party,2621,No
CARLOW-KILKENNY,Patrick McKee,Renua,2483,No
CARLOW-KILKENNY,Adrienne Wallace,Anti-Austerity Alliance-People Before Profit,1582,No
CARLOW-KILKENNY,Conor MacLiam,Anti-Austerity Alliance-People Before Profit,1120,No
CARLOW-KILKENNY,Paddy Manning,Independent,1078,No
CARLOW-KILKENNY,Keith Gilligan,Independent,456,No
CARLOW-KILKENNY,Noel G Walsh,Independent,164,No
CAVAN-MONAGHAN,Heather Humphreys,Fine Gael,12391,Yes
CAVAN-MONAGHAN,Caoimhghín Ó Caoláin,Sinn Fein,10060,Yes
CAVAN-MONAGHAN,Brendan Smith,Fianna Fail,8775,Yes
CAVAN-MONAGHAN,Joe OReilly,Fine Gael,6566,Yes
CAVAN-MONAGHAN,Niamh Smyth,Fianna Fail,6268,No
CAVAN-MONAGHAN,Kathryn Reilly,Sinn Fein,6066,No
CAVAN-MONAGHAN,Mike Durkin,Fianna Fail,2909,No
CAVAN-MONAGHAN,Seán Conlan,Independent,1665,No
CAVAN-MONAGHAN,Mary Smyth,Independent,1589,No
CAVAN-MONAGHAN,Michael Callaghan,Green Party,1251,No
CAVAN-MONAGHAN,John Wilson,Independent,1023,No
CAVAN-MONAGHAN,Mick McDermott,Direct Democracy Ireland,475,No
CAVAN-MONAGHAN,Aoife OConnell,Direct Democracy Ireland,279,No
CAVAN-MONAGHAN,Emmett Smith,Independent,245,No
CAVAN-MONAGHAN,Jimmy Mee,Independent,88,No
CLARE,Timmy Dooley,Fianna Fail,10215,Yes
CLARE,Michael Harty,Independent,8629,Yes
CLARE,Pat Breen,Fine Gael,6583,Yes
CLARE,Joe Carey,Fine Gael,6071,Yes
CLARE,Michael McDonagh,Fianna Fail,4726,No
CLARE,Michael McNamara,Labour,4472,No
CLARE,Noeleen Moran,Sinn Fein,4216,No
CLARE,Clare Colleran-Molloy,Fianna Fail,2639,No
CLARE,Ann Norton,Independent,2240,No
CLARE,Mary Howard,Fine Gael,2053,No
CLARE,Fergal Smith,Green Party,1700,No
CLARE,Ian Lynch,Independent,1494,No
CLARE,Niamh OBrien,Fis Nua,1154,No
CLARE,Richard Cahill,Independent,699,No
CLARE,André Sibo Hakizimana,Independent,70,No
CLARE,Dermot Mulqueen,Independent,39,No
CORK EAST,Kevin OKeeffe,Fianna Fail,8264,Yes
CORK EAST,David Stanton,Fine Gael,7171,Yes
CORK EAST,Seán Sherlock,Labour,6949,Yes
CORK EAST,Pat Buckley,Sinn Fein,5358,Yes
CORK EAST,Barbara Ahern,Fianna Fail,4594,No
CORK EAST,Noel McCarthy,Fine Gael,4406,No
CORK EAST,Tom Barry,Fine Gael,3461,No
CORK EAST,Paul Bradford,Renua,3244,No
CORK EAST,Mary Linehan-Foley,Independent,3145,No
CORK EAST,Ciara Leonardi-Roche,Anti-Austerity Alliance-People Before Profit,1999,No
CORK EAST,Kieran McCarthy,Independent,1635,No
CORK EAST,Ken Curtin,Social Democrats,1386,No
CORK EAST,Natasha Harty,Green Party,806,No
CORK EAST,Paddy Bullman,Independent,241,No
CORK EAST,Ross Cannon,Independent,147,No
CORK NORTH-CENTRAL,Billy Kelleher,Fianna Fail,14286,Yes
CORK NORTH-CENTRAL,Mick Barry,Anti-Austerity Alliance-People Before Profit,8041,Yes
CORK NORTH-CENTRAL,Jonathan OBrien,Sinn Fein,6231,Yes
CORK NORTH-CENTRAL,Dara Murphy,Fine Gael,5264,Yes
CORK NORTH-CENTRAL,Julie OLeary,Fine Gael,3841,No
CORK NORTH-CENTRAL,Thomas Gould,Sinn Fein,3773,No
CORK NORTH-CENTRAL,Kathleen Lynch,Labour,3723,No
CORK NORTH-CENTRAL,Oliver Moran,Green Party,1693,No
CORK NORTH-CENTRAL,Ted Tynan,Workers Party,1419,No
CORK NORTH-CENTRAL,Paddy OLeary,Renua,1120,No
CORK NORTH-CENTRAL,Ger Keohane,Independent,912,No
CORK NORTH-CENTRAL,Thomas Kiely,Independent,473,No
CORK NORTH-CENTRAL,Mick Murphy,Independent,215,No
CORK NORTH-CENTRAL,Peter OLoughlin,Independent,183,No
CORK NORTH-WEST,Aindrias Moynihan,Fianna Fail,8924,Yes
CORK NORTH-WEST,Michael Creed,Fine Gael,8869,Yes
CORK NORTH-WEST,Michael Moynihan,Fianna Fail,7332,Yes
CORK NORTH-WEST,Áine Collins,Fine Gael,6237,No
CORK NORTH-WEST,John Paul OShea,Independent,4814,No
CORK NORTH-WEST,Nigel Dennehy,Sinn Fein,3238,No
CORK NORTH-WEST,Diarmuid OFlynn,Independent Alliance,2159,No
CORK NORTH-WEST,Jason Fitzgerald,Renua,1568,No
CORK NORTH-WEST,Steven ORiordan,Independent,1361,No
CORK NORTH-WEST,Cormac Manning,Green Party,1354,No
CORK NORTH-WEST,Jerry OSullivan,Independent,478,No
CORK NORTH-WEST,Shirley Griffin,Independent,439,No
CORK NORTH-WEST,Michael ODonnell,Communist Party,185,No
CORK SOUTH-CENTRAL,Michael McGrath,Fianna Fail,11795,Yes
CORK SOUTH-CENTRAL,Micheál Martin,Fianna Fail,11346,Yes
CORK SOUTH-CENTRAL,Simon Coveney,Fine Gael,7965,Yes
CORK SOUTH-CENTRAL,Donnchadh Ó Laoghaire,Sinn Fein,6986,Yes
CORK SOUTH-CENTRAL,Jerry Buttimer,Fine Gael,6419,No
CORK SOUTH-CENTRAL,Ciaran Lynch,Labour,2417,No
CORK SOUTH-CENTRAL,Mick Finn,Independent Alliance,2378,No
CORK SOUTH-CENTRAL,Lorna Bogue,Green Party,2064,No
CORK SOUTH-CENTRAL,Fiona Ryan,Anti-Austerity Alliance-People Before Profit,937,No
CORK SOUTH-CENTRAL,Diarmaid Ó Cadhla,Independent,887,No
CORK SOUTH-CENTRAL,Ciarán Kenneally,Renua,869,No
CORK SOUTH-CENTRAL,Jim O’Connell,Anti-Austerity Alliance-People Before Profit,795,No
CORK SOUTH-CENTRAL,Joe Harris,Independent,350,No
CORK SOUTH-CENTRAL,Elizabeth Hourihane,Independent,304,No
CORK SOUTH-CENTRAL,Michael Mohally,Independent,170,No
CORK SOUTH-WEST,Margaret Murphy-OMahony,Fianna Fail,8482,Yes
CORK SOUTH-WEST,Jim Daly,Fine Gael,7370,Yes
CORK SOUTH-WEST,Michael Collins,Independent,6765,Yes
CORK SOUTH-WEST,Noel Harrington,Fine Gael,6433,No
CORK SOUTH-WEST,Alan Coleman,Independent,4955,No
CORK SOUTH-WEST,Rachel McCarthy,Sinn Fein,3656,No
CORK SOUTH-WEST,Michael McCarthy,Labour,3035,No
CORK SOUTH-WEST,Johnny OMahony,Green Party,752,No
CORK SOUTH-WEST,Gillian Powell,Independent,701,No
CORK SOUTH-WEST,Theresa Heaney,Catholic Democrats,686,No
CORK SOUTH-WEST,Fiona Pettit OLeary,Independent,423,No
DONEGAL,Charlie McConalogue,Fianna Fail,12533,Yes
